filename,subject,q1,q2,q3,q4,mora,word,initial_tone,final_tone,accented_mora,mora_dur,mora_int,mora_f0_max,word_dur,word_int,word_f0_range
P20211210_16_46_Q099_T17_09_33,P20211210_16_46,94,75,23,1,wa,moosiwakenaidesu,%LH,LHL%,n,0.09112508342425296,57.613251438846895,137.77781546827015,1.2720000000000002,54.88713213148425,60.57498924071275
P20211210_16_46_Q099_T17_09_33,P20211210_16_46,94,75,23,1,ke,moosiwakenaidesu,%LH,LHL%,n,0.14561702190161507,55.390790548752314,145.19328455761868,1.2720000000000002,54.88713213148425,60.57498924071275
P20211210_16_46_Q099_T17_09_33,P20211210_16_46,94,75,23,1,n,moosiwakenaidesu,%LH,LHL%,n,0.05537743736351719,55.55513161164481,135.92245099930986,1.2720000000000002,54.88713213148425,60.57498924071275
P20211210_16_46_Q099_T17_09_33,P20211210_16_46,94,75,23,1,a,moosiwakenaidesu,%LH,LHL%,n,0.08182660552381904,57.97220042709087,137.03197303387873,1.2720000000000002,54.88713213148425,60.57498924071275
P20211210_16_46_Q099_T17_09_33,P20211210_16_46,94,75,23,1,i,moosiwakenaidesu,%LH,LHL%,n,0.05672071519264721,56.132886174767464,136.0328418535817,1.2720000000000002,54.88713213148425,60.57498924071275
P20211210_16_46_Q099_T17_09_33,P20211210_16_46,94,75,23,1,de,moosiwakenaidesu,%LH,LHL%,n,0.11344143038529464,54.95932258946102,130.88216985875994,1.2720000000000002,54.88713213148425,60.57498924071275
P20211210_16_46_Q099_T17_09_33,P20211210_16_46,94,75,23,1,su,moosiwakenaidesu,%LH,LHL%,n,0.37062568659940265,52.30667974139307,117.66434697721081,1.2720000000000002,54.88713213148425,60.57498924071275
P20211210_16_46_Q102_T17_05_05,P20211210_16_46,39,37,87,0,go,gomen,%LH,LHL%,me,0.14963733987012517,48.36436779240788,104.62844862610807,0.4511745193859742,51.048840647731566,35.09861713147849
P20211210_16_46_Q102_T17_05_05,P20211210_16_46,39,37,87,0,me,gomen,%LH,LHL%,me,0.21033717951584885,53.333696053823225,128.2567298850315,0.4511745193859742,51.048840647731566,35.09861713147849
P20211210_16_46_Q102_T17_05_05,P20211210_16_46,39,37,87,0,n,gomen,%LH,LHL%,me,0.09120000000000017,43.08240551475986,108.90217313764327,0.4511745193859742,51.048840647731566,35.09861713147849
P20211210_16_46_Q103_T17_57_23,P20211210_16_46,69,97,17,1,go,gomen,%LH,LHL%,me,0.07835150803514068,58.84742293440535,119.67819685607229,0.30399999999999994,65.37920708027815,62.98551124517388
P20211210_16_46_Q103_T17_57_23,P20211210_16_46,69,97,17,1,me,gomen,%LH,LHL%,me,0.17474250691408144,67.42471215642,175.13910359229945,0.30399999999999994,65.37920708027815,62.98551124517388
P20211210_16_46_Q103_T17_57_23,P20211210_16_46,69,97,17,1,n,gomen,%LH,LHL%,me,0.05090598505077781,56.58642414846389,135.3239631407167,0.30399999999999994,65.37920708027815,62.98551124517388
P20211210_16_46_Q104_T17_30_35,P20211210_16_46,7,27,33,1,su,sumimasen,%LH,LHL%,ma,0.16068766343360796,41.56055588869634,134.08388990943212,0.7152026636162976,54.9650414069496,73.25315315818393
P20211210_16_46_Q104_T17_30_35,P20211210_16_46,7,27,33,1,mi,sumimasen,%LH,LHL%,ma,0.13126597857956712,53.12294592185986,134.08388990943212,0.7152026636162976,54.9650414069496,73.25315315818393
P20211210_16_46_Q104_T17_30_35,P20211210_16_46,7,27,33,1,ma,sumimasen,%LH,LHL%,ma,0.1256079622614822,55.740336441846836,142.33841680360433,0.7152026636162976,54.9650414069496,73.25315315818393
P20211210_16_46_Q104_T17_30_35,P20211210_16_46,7,27,33,1,se,sumimasen,%LH,LHL%,ma,0.21839942987807293,58.115700280712645,159.13719216033306,0.7152026636162976,54.9650414069496,73.25315315818393
P20211210_16_46_Q104_T17_30_35,P20211210_16_46,7,27,33,1,n,sumimasen,%LH,LHL%,ma,0.07924162946356739,49.129276120767436,118.58946144793741,0.7152026636162976,54.9650414069496,73.25315315818393
P20211210_16_46_Q106_T17_27_07,P20211210_16_46,60,90,25,1,go,gomennasai,%LH,LHL%,na,0.06328324759747861,47.97298087687188,113.25870372222654,0.6737231898070026,54.37170986992736,19.510578523800135
